RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  1380    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  284  359     0     0  con    0  1.0E+00  2.8E+01  6.133E+02  2.776E+06
  285  360     0     0  con    0  1.0E+00  1.7E+01  3.654E+02  2.775E+06
  286  361     0     0  con    0  1.0E+00  3.0E+01  4.921E+02  2.772E+06
  287  363     0     0  con    1  4.2E-02  3.6E+01  1.477E+03  2.768E+06
  288  366     0     0  con    2  5.9E-03  1.1E+00  5.017E+02  2.768E+06
  289  367     0     0  con    0  1.0E+00  1.3E+00  4.192E+02  2.767E+06
  290  369     0     0  con    1  1.7E-01  9.0E+00  5.160E+02  2.767E+06
  291  371     0     0  con    1  2.0E-01  6.5E+00  6.178E+02  2.765E+06
  292  372     0     0  con    0  1.0E+00  4.6E+00  3.817E+02  2.765E+06
  293  373     0     0  con    0  1.0E+00  6.5E+00  8.930E+02  2.763E+06
  294  374     0     0  con    0  1.0E+00  2.5E+00  8.367E+02  2.762E+06
  295  375     0     0  con    0  1.0E+00  2.2E+00  3.902E+02  2.761E+06
  296  376     0     0  con    0  1.0E+00  9.5E-01  4.203E+02  2.761E+06
  297  377     0     0  con    0  1.0E+00  1.3E+00  1.913E+02  2.760E+06
  298  378     0     0  con    0  1.0E+00  1.9E+00  1.912E+02  2.760E+06
  299  379     0     0  con    0  1.0E+00  2.2E+00  2.199E+02  2.759E+06
  300  380     0     0  con    0  1.0E+00  1.1E+00  8.272E+02  2.759E+06
  301  381     0     0  con    0  1.0E+00  1.7E+00  2.137E+02  2.759E+06
  302  382     0     0  con    0  1.0E+00  3.6E-01  1.349E+02  2.759E+06
  303  383     0     0  con    0  1.0E+00  6.7E-01  1.361E+02  2.758E+06
  304  384     0     0  con    0  1.0E+00  8.6E-01  1.895E+02  2.758E+06
  305  385     0     0  con    0  1.0E+00  1.2E+00  2.788E+02  2.758E+06
  306  386     0     0  con    0  1.0E+00  4.1E-01  1.511E+02  2.758E+06
  307  387     0     0  con    0  1.0E+00  5.6E-01  1.570E+02  2.758E+06
  308  388     0     0  con    0  1.0E+00  7.7E-01  1.256E+02  2.758E+06
  309  389     0     0  con    0  1.0E+00  7.3E-01  2.820E+02  2.758E+06
  310  390     0     0  con    0  1.0E+00  6.2E-01  1.171E+02  2.758E+06
  311  391     0     0  con    0  1.0E+00  4.0E-01  7.059E+01  2.758E+06
